Course,Status,Instructor,Section Details
CE 960-B - Research in CE (PHD),Research in CE (PHD),Open,
CE 960-C - Research in CE (PHD),Research in CE (PHD),Open,
CE 960-D - Research in CE (PHD),Research in CE (PHD),Open,
CE 960-E - Research in CE (PHD),Research in CE (PHD),Open,
CE 960-F - Research in CE (PHD),Research in CE (PHD),Open,
CE 960-G - Research in CE (PHD),Research in CE (PHD),Open,
CE 960-H - Research in CE (PHD),Research in CE (PHD),Open,
CE 960-I - Research in CE (PHD),Research in CE (PHD),Open,
CE 960-J - Research in CE (PHD),Research in CE (PHD),Open,
CH 115-A - General Chemistry I,General Chemistry I,Open,
CH 115-C - General Chemistry I,General Chemistry I,Open,
CH 115-E - General Chemistry I,General Chemistry I,Open,
CH 115-F - General Chemistry I,General Chemistry I,Open,
CH 115-G - General Chemistry I,General Chemistry I,Open,
CH 115-H - General Chemistry I,General Chemistry I,Open,
CH 115-I - General Chemistry I,General Chemistry I,Open,
CH 115-J - General Chemistry I,General Chemistry I,Open,
CH 115-K - General Chemistry I,General Chemistry I,Open,
CH 115-QUIZ - General Chemistry I,General Chemistry I,Open,
CH 115-QUIZtba - General Chemistry I,General Chemistry I,Open,
CH 117-C - General Chemistry Lab I,General Chemistry Lab I,Open,
CH 117-D - General Chemistry Lab I,General Chemistry Lab I,Open,
CH 117-E - General Chemistry Lab I,General Chemistry Lab I,Open,
CH 117-F - General Chemistry Lab I,General Chemistry Lab I,Open,
CH 117-G - General Chemistry Lab I,General Chemistry Lab I,Open,
CH 117-H - General Chemistry Lab I,General Chemistry Lab I,Open,
CH 117-I - General Chemistry Lab I,General Chemistry Lab I,Open,
CH 117-J - General Chemistry Lab I,General Chemistry Lab I,Open,
CH 117-K - General Chemistry Lab I,General Chemistry Lab I,Open,
CH 117-L - General Chemistry Lab I,General Chemistry Lab I,Open,
CH 243-A - Organic Chemistry I,Organic Chemistry I,Open,
CH 243-B - Organic Chemistry I,Organic Chemistry I,Open,
CH 243-RA - Organic Chemistry I,Organic Chemistry I,Closed,
CH 243-RB - Organic Chemistry I,Organic Chemistry I,Open,
CH 243-RC - Organic Chemistry I,Organic Chemistry I,Open,
CH 243-RD - Organic Chemistry I,Organic Chemistry I,Closed,
CH 245-A - Organic Chemistry Lab I,Organic Chemistry Lab I,Closed,
CH 245-B - Organic Chemistry Lab I,Organic Chemistry Lab I,Closed,
CH 245-C - Organic Chemistry Lab I,Organic Chemistry Lab I,Open,
CH 245-D - Organic Chemistry Lab I,Organic Chemistry Lab I,Closed,
CH 301-A - Professional Ethics for Scientific Research,Professional Ethics for Scientific Research,Closed,
CH 301-B - Professional Ethics for Scientific Research,Professional Ethics for Scientific Research,Open,
CH 362-A - Instr Analysis - Spect/Chrom,Instr Analysis - Spect/Chrom,Closed,
CH 362-LA - Instr Analysis - Spect/Chrom,Instr Analysis - Spect/Chrom,Closed,
CH 362-LB - Instr Analysis - Spect/Chrom,Instr Analysis - Spect/Chrom,Open,
CH 412-A - Inorganic Chemistry I,Inorganic Chemistry I,Open,
CH 412-LA - Inorganic Chemistry I,Inorganic Chemistry I,Open,
CH 498-A - Senior Capstone Research Project I,Senior Capstone Research Project I,Open,
CH 498-B - Senior Capstone Research Project I,Senior Capstone Research Project I,Open,
CH 498-C - Senior Capstone Research Project I,Senior Capstone Research Project I,Open,
CH 498-D - Senior Capstone Research Project I,Senior Capstone Research Project I,Open,
CH 498-E - Senior Capstone Research Project I,Senior Capstone Research Project I,Open,
CH 498-F - Senior Capstone Research Project I,Senior Capstone Research Project I,Open,
CH 498-G - Senior Capstone Research Project I,Senior Capstone Research Project I,Open,
CH 498-H - Senior Capstone Research Project I,Senior Capstone Research Project I,Open,
CH 498-I - Senior Capstone Research Project I,Senior Capstone Research Project I,Open,
CH 498-J - Senior Capstone Research Project I,Senior Capstone Research Project I,Open,
